epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
123,3630.64,0.61487,0.43317,0.94283,0.91967,0.71829,0.81516,0.67034,0.54838,0.4255,0.91408,0.00017922,0.00017922,0.00017922
124,3659.77,0.60917,0.441,0.94456,0.9292,0.71145,0.8162,0.66895,0.55888,0.45104,0.92593,0.00017823,0.00017823,0.00017823
125,3688.32,0.6121,0.43767,0.93826,0.94154,0.71218,0.8175,0.67437,0.54031,0.42828,0.90269,0.00017724,0.00017724,0.00017724
126,3717.33,0.59656,0.42653,0.93737,0.92762,0.70958,0.79988,0.66702,0.5467,0.45175,0.90493,0.00017625,0.00017625,0.00017625
127,3746.34,0.59196,0.42146,0.93376,0.91883,0.72032,0.81754,0.68421,0.53283,0.42343,0.8947,0.00017526,0.00017526,0.00017526
128,3775.14,0.58883,0.4127,0.93485,0.91687,0.73774,0.82369,0.68826,0.53133,0.42068,0.89242,0.00017427,0.00017427,0.00017427
129,3804.25,0.59713,0.42192,0.93799,0.92029,0.73504,0.82341,0.68564,0.53847,0.42546,0.89346,0.00017328,0.00017328,0.00017328
130,3833.08,0.59107,0.41845,0.93822,0.92426,0.73915,0.8269,0.69135,0.53497,0.43511,0.90243,0.00017229,0.00017229,0.00017229
131,3863.05,0.59132,0.42138,0.92633,0.92594,0.7335,0.81506,0.67992,0.54105,0.42236,0.89706,0.0001713,0.0001713,0.0001713
132,3892.2,0.59669,0.42113,0.93455,0.9085,0.74252,0.81798,0.68053,0.53835,0.43195,0.89662,0.00017031,0.00017031,0.00017031
133,3921.74,0.59129,0.42585,0.93809,0.89821,0.75581,0.82232,0.68039,0.5312,0.42236,0.89208,0.00016932,0.00016932,0.00016932
134,3950.73,0.59948,0.42553,0.93643,0.92725,0.7367,0.82019,0.68245,0.53035,0.43158,0.88895,0.00016833,0.00016833,0.00016833
135,3980.25,0.5853,0.41662,0.93392,0.89468,0.74822,0.81524,0.67816,0.53215,0.42374,0.88379,0.00016734,0.00016734,0.00016734
136,4009.77,0.59266,0.41656,0.93731,0.92874,0.73832,0.81769,0.67576,0.53191,0.4226,0.88761,0.00016635,0.00016635,0.00016635
137,4039.82,0.58313,0.41407,0.93184,0.90446,0.73497,0.81317,0.68202,0.5282,0.44158,0.89246,0.00016536,0.00016536,0.00016536
138,4069.5,0.57393,0.39853,0.92313,0.94129,0.72749,0.81561,0.68316,0.5398,0.4394,0.89243,0.00016437,0.00016437,0.00016437
139,4097.68,0.59672,0.41384,0.92597,0.94004,0.72946,0.81475,0.67709,0.54015,0.41437,0.8937,0.00016338,0.00016338,0.00016338
140,4126.61,0.57896,0.40993,0.92614,0.92863,0.73765,0.81516,0.67862,0.52998,0.4364,0.88297,0.00016239,0.00016239,0.00016239
141,4155.52,0.57866,0.40889,0.92816,0.95628,0.72318,0.81282,0.67392,0.52646,0.4395,0.89116,0.0001614,0.0001614,0.0001614
142,4184.89,0.57615,0.40971,0.92855,0.94604,0.73011,0.8191,0.68579,0.52109,0.42213,0.89371,0.00016041,0.00016041,0.00016041
143,4213.54,0.5906,0.41146,0.93746,0.93571,0.73438,0.81574,0.68765,0.51511,0.40609,0.88447,0.00015942,0.00015942,0.00015942
144,4242.75,0.57791,0.40669,0.93952,0.94109,0.73131,0.82382,0.68509,0.50633,0.41157,0.8776,0.00015843,0.00015843,0.00015843
145,4271.47,0.58716,0.40894,0.92391,0.9081,0.74596,0.81988,0.6874,0.50973,0.40917,0.88166,0.00015744,0.00015744,0.00015744
